run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-280-20260805-18:36:48-87901,config,,,*.terminal[21].mob.centerLatitude,49.883,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[21].mob.centerLongitude,18.568,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[22].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[22].mob.centerLatitude,47.531,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[22].mob.centerLongitude,21.627,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[23].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[23].mob.centerLatitude,44.179,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[23].mob.centerLongitude,28.649,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[24].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[24].mob.centerLatitude,45.327,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[24].mob.centerLongitude,14.442,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[25].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[25].mob.centerLatitude,40.694,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[25].mob.centerLongitude,30.400,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[26].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[26].mob.centerLatitude,37.066,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[26].mob.centerLongitude,37.383,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[27].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[27].mob.centerLatitude,64.836,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[27].mob.centerLongitude,-23.708,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[28].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[28].mob.centerLatitude,28.099,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[28].mob.centerLongitude,-17.113,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[29].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[29].mob.centerLatitude,34.921,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[29].mob.centerLongitude,33.623,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[30].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[30].mob.centerLatitude,55.953,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[30].mob.centerLongitude,-3.188,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[31].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[31].mob.centerLatitude,51.481,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[31].mob.centerLongitude,-3.179,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[32].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[32].mob.centerLatitude,53.349,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[32].mob.centerLongitude,-6.260,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[33].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[33].mob.centerLatitude,45.764,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[33].mob.centerLongitude,4.835,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[34].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[34].mob.centerLatitude,48.573,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[34].mob.centerLongitude,7.752,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[35].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[35].mob.centerLatitude,44.837,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[35].mob.centerLongitude,-0.579,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[36].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[36].mob.centerLatitude,41.385,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[36].mob.centerLongitude,2.173,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[37].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[37].mob.centerLatitude,41.157,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[37].mob.centerLongitude,-8.629,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[38].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[38].mob.centerLatitude,37.389,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[38].mob.centerLongitude,-5.984,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[39].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[39].mob.centerLatitude,53.551,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[39].mob.centerLongitude,9.993,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[40].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[40].mob.centerLatitude,48.135,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[40].mob.centerLongitude,11.582,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[41].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[41].mob.centerLatitude,50.110,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[41].mob.centerLongitude,8.682,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[42].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[42].mob.centerLatitude,45.464,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[42].mob.centerLongitude,9.190,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[43].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[43].mob.centerLatitude,40.851,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[43].mob.centerLongitude,14.268,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[44].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[44].mob.centerLatitude,51.209,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[44].mob.centerLongitude,3.224,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[45].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[45].mob.centerLatitude,48.208,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[45].mob.centerLongitude,16.373,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[46].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[46].mob.centerLatitude,52.229,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[46].mob.centerLongitude,21.012,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[47].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[47].mob.centerLatitude,59.913,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[47].mob.centerLongitude,10.752,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[48].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[48].mob.centerLatitude,56.949,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[48].mob.centerLongitude,24.105,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[49].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[49].mob.centerLatitude,59.437,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[49].mob.centerLongitude,24.753,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[50].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[50].mob.centerLatitude,50.075,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[50].mob.centerLongitude,14.437,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[51].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[51].mob.centerLatitude,42.697,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[51].mob.centerLongitude,23.321,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[52].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[52].mob.centerLatitude,45.815,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[52].mob.centerLongitude,15.981,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[53].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[53].mob.centerLatitude,40.640,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[53].mob.centerLongitude,22.944,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[54].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[54].mob.centerLatitude,39.933,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[54].mob.centerLongitude,32.859,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[55].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[55].mob.centerLatitude,38.419,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[55].mob.centerLongitude,27.128,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[56].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[56].mob.centerLatitude,35.898,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[56].mob.centerLongitude,14.514,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[57].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[57].mob.centerLatitude,65.683,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[57].mob.centerLongitude,-18.087,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[58].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[58].mob.centerLatitude,28.463,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[58].mob.centerLongitude,-16.251,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[59].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[59].mob.centerLatitude,35.185,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[59].mob.centerLongitude,33.382,,
General-280-20260805-18:36:48-87901,config,,,**.numStations,3,,
General-280-20260805-18:36:48-87901,config,,,**.numStations,3,,
General-280-20260805-18:36:48-87901,config,,,*.station[0].mobility.latitude,55.752,,
General-280-20260805-18:36:48-87901,config,,,*.station[0].mobility.longitude,37.616,,
General-280-20260805-18:36:48-87901,config,,,*.station[0].cityName,"""Moscow""",,
General-280-20260805-18:36:48-87901,config,,,*.station[0].groundStationId,7,,
General-280-20260805-18:36:48-87901,config,,,*.station[0].routerAddr,"""10.0.0.29""",,
General-280-20260805-18:36:48-87901,config,,,*.station[0].serving,"""10.0.0.29""",,
General-280-20260805-18:36:48-87901,config,,,*.station[1].mobility.latitude,28.652,,
General-280-20260805-18:36:48-87901,config,,,*.station[1].mobility.longitude,77.231,,
General-280-20260805-18:36:48-87901,config,,,*.station[1].cityName,"""Delhi""",,
General-280-20260805-18:36:48-87901,config,,,*.station[1].groundStationId,11,,
General-280-20260805-18:36:48-87901,config,,,*.station[1].routerAddr,"""10.0.0.45""",,
General-280-20260805-18:36:48-87901,config,,,*.station[1].serving,"""10.0.0.45""",,
General-280-20260805-18:36:48-87901,config,,,*.station[2].mobility.latitude,25.35,,
General-280-20260805-18:36:48-87901,config,,,*.station[2].mobility.longitude,51.24,,
General-280-20260805-18:36:48-87901,config,,,*.station[2].cityName,"""Katar""",,
General-280-20260805-18:36:48-87901,config,,,*.station[2].groundStationId,19,,
General-280-20260805-18:36:48-87901,config,,,*.station[2].routerAddr,"""10.0.0.77""",,
General-280-20260805-18:36:48-87901,config,,,*.station[2].serving,"""10.0.0.77""",,
General-280-20260805-18:36:48-87901,config,,,*.visualizer.canvasVisualizer.mediumVisualizer.typename,,,
General-280-20260805-18:36:48-87901,config,,,*.visualizer.*.radioVisualizer.displayAntennaLobes,true,,
General-280-20260805-18:36:48-87901,config,,,*.visualizer.*.dataLinkVisualizer.displayLinks,true,,
General-280-20260805-18:36:48-87901,config,,,*.visualizer.*.mobilityVisualizer.displayMovementTrails,true,,
General-280-20260805-18:36:48-87901,config,,,*.visualizer.*.mobilityVisualizer.movementTrailLineWidth,1,,
General-280-20260805-18:36:48-87901,config,,,*.visualizer.*.mobilityVisualizer.trailLength,3000,,
General-280-20260805-18:36:48-87901,config,,,**.ttxStart_max,1s,,
General-280-20260805-18:36:48-87901,config,,,**.ttxIdle_min,10s,,
General-280-20260805-18:36:48-87901,config,,,**.ttxIdle_max,15s,,
General-280-20260805-18:36:48-87901,config,,,**.Ntw,1,,
General-280-20260805-18:36:48-87901,config,,,**.Ntx,5,,
General-280-20260805-18:36:48-87901,config,,,**.ttwDuration,100s,,
General-280-20260805-18:36:48-87901,config,,,output-scalar-file,results/results_florasat_ml_trf_no_buffer/transformer-raan-185-th-0.90-General-0.sca,,
General-280-20260805-18:36:48-87901,config,,,output-vector-file,results/results_florasat_ml_trf_no_buffer/transformer-raan-185-th-0.90-General-0.vec,,
General-280-20260805-18:36:48-87901,vector,Florasat_Individual_Sats.terminal[42].dlk.mac,vector_preds_Transformer,,,"1.07121549663 11.19237912353 22.28345055482 32.77806058293 46.16344489972 116.47789180023 131.4302854063 144.73045538506 157.57243148494 170.92653732375 231.24530228996 244.4562030104 257.50147447898 269.41026631254 283.91484550294 346.67318603303 357.75014359783 370.00712983124 380.55705178576 391.04104289716 461.12568683387 472.83367437124 485.86923009413 496.18534904485 509.44497553096 576.41352480557 590.29723667586 604.5553642516 617.03892225795 629.91842730948 691.61099554366 703.01017315337 715.19527584175 727.32729918533 740.97600810556","11764201 11764202 11764203 11764204 11764205 11770201 11770202 11770203 11770204 11770205 11776201 11776202 11776203 11776204 11776205 11782201 11782202 11782203 11782204.1 11782205.1 11788201 11788202 11788203 11788204 11788205 11794201 11794202 11794203 11794204 11794205 11800201 11800202 11800203 11800204 11800205"
