seed,model,threshold,auc_pr_test,precision_test_c0,recall_test_c0,f1_score_test_c0,precision_test_c1,recall_test_c1,f1_score_test_c1,auc_pr_val,precision_val_c0,recall_val_c0,f1_score_val_c0,precision_val_c1,recall_val_c1,f1_score_val_c1
8,Logistic Regression,0.522154816291287,0.669330196384839,0.901025412394115,0.794730633110499,0.84454659423318,0.556499575191164,0.746864310148233,0.63777994157741,0.733924486890638,0.905061867266592,0.819849195027512,0.860350727117194,0.630897703549061,0.781686497672012,0.698243992606285
8,Random Forest,0.27,0.696238703425623,0.930038204393505,0.765827762485254,0.839982747466034,0.550904977375566,0.832953249714937,0.663186563776668,0.748357012094129,0.939221036963533,0.771550845730589,0.847169389125084,0.600925596297615,0.87325400931195,0.71193589202868
8,MLP,0.150185570120811,0.690529383760548,0.933381782945737,0.757569799449469,0.836336010418928,0.545353982300885,0.843215507411631,0.662337662337662,0.74269527114963,0.933138828106005,0.782147951905441,0.8509977827051,0.607994132746608,0.857734092084842,0.711587982832618
8,Gradient Boosting,0.595920618437384,0.702651120022352,0.916763814408953,0.773102634683445,0.838826666666667,0.547628381027048,0.796465222348917,0.649012775842044,0.759850467801963,0.909379247847757,0.818015080497249,0.86128097843579,0.631904369332234,0.793067770305225,0.703372333103923
9,Logistic Regression,0.604356613383833,0.653939991242866,0.905310827501029,0.840275124188002,0.871581450653983,0.578203834510595,0.713574097135741,0.638795986622074,0.715093479863075,0.901288445552785,0.860515873015873,0.880430369468128,0.653353057199211,0.736111111111111,0.69226750261233
9,Random Forest,0.31,0.710667667277218,0.927899015832264,0.828620557890715,0.875454178441663,0.585872576177285,0.790161892901619,0.672852598091198,0.753791135380194,0.9293490335481,0.829960317460318,0.876847290640394,0.633604104318085,0.823333333333333,0.716115003624064
9,MLP,0.206769600510597,0.671242434686609,0.939832089552239,0.7699656094765,0.846460827557236,0.528213166144201,0.839352428393524,0.648388648388648,0.720155079131314,0.939451728247914,0.781944444444444,0.853492149431511,0.584499054820416,0.858888888888889,0.695613048368954
9,Gradient Boosting,0.570256425775887,0.699833577263008,0.929128593715177,0.796522735957203,0.857730686143401,0.547386315342117,0.801992528019925,0.650669360949735,0.743225182486294,0.928490863974735,0.816666666666667,0.868996094162356,0.616119651017865,0.823888888888889,0.705015450439743
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,auc_pr_test,precision_test_c0,recall_test_c0,f1_score_test_c0,precision_test_c1,recall_test_c1,f1_score_test_c1,,,,,,,
,,Logistic Regression,0.646627959733819,0.903659274491042,0.810363309665888,0.853603145752273,0.555327592337988,0.725107617901205,0.626769523965807,,,,,,,
,,Random Forest,0.700634112522888,0.922428309999384,0.817303169159783,0.866352653917161,0.580007636030838,0.783399862022234,0.665833179410701,,,,,,,
,,MLP,0.670771541245065,0.930437765363891,0.761511104983748,0.836425996180317,0.527016301418901,0.819044039613799,0.639870061048691,,,,,,,
,,Gradient Boosting,0.691325088559103,0.924464419981441,0.792124240201271,0.852739770766191,0.552034194239104,0.796287263432153,0.651258701399389,,,,,,,
